Model,B,Converters@B,NonConverters@B,Precision@B,Recall@B,Lift@B,DeltaPrecision@B,ConversionsCaptured@B,AUCPR,ROC-AUC,ThresholdPrecision,ThresholdRecall,ThresholdF1,PositiveRate
XGBoost,100,4,96,0.04,0.0345,4.4138,0.0309,4,0.0133,0.5463,0.0131,0.2845,0.0251,0.0091
BRF,100,3,97,0.03,0.0259,3.3103,0.0209,3,0.0147,0.6072,0.0132,0.4828,0.0256,0.0091
Random Forest,100,2,98,0.02,0.0172,2.2069,0.0109,2,0.0126,0.5757,0.0187,0.1207,0.0324,0.0091
Random,100,0,100,0.0,0.0,0.0,-0.0091,0,0.0089,0.5116,0.0091,0.5,0.0178,0.0091
Logistic Regression,100,0,100,0.0,0.0,0.0,-0.0091,0,0.0104,0.53,0.0114,0.3276,0.022,0.0091
BRF,200,6,194,0.03,0.0517,3.3103,0.0209,6,0.0147,0.6072,0.0132,0.4828,0.0256,0.0091
XGBoost,200,6,194,0.03,0.0517,3.3103,0.0209,6,0.0133,0.5463,0.0131,0.2845,0.0251,0.0091
Logistic Regression,200,4,196,0.02,0.0345,2.2069,0.0109,4,0.0104,0.53,0.0114,0.3276,0.022,0.0091
Random Forest,200,3,197,0.015,0.0259,1.6552,0.0059,3,0.0126,0.5757,0.0187,0.1207,0.0324,0.0091
Random,200,0,200,0.0,0.0,0.0,-0.0091,0,0.0089,0.5116,0.0091,0.5,0.0178,0.0091
BRF,300,8,292,0.0267,0.069,2.9425,0.0176,8,0.0147,0.6072,0.0132,0.4828,0.0256,0.0091
XGBoost,300,7,293,0.0233,0.0603,2.5747,0.0143,7,0.0133,0.5463,0.0131,0.2845,0.0251,0.0091
Random,300,6,294,0.02,0.0517,2.2069,0.0109,6,0.0089,0.5116,0.0091,0.5,0.0178,0.0091
Random Forest,300,6,294,0.02,0.0517,2.2069,0.0109,6,0.0126,0.5757,0.0187,0.1207,0.0324,0.0091
Logistic Regression,300,4,296,0.0133,0.0345,1.4713,0.0043,4,0.0104,0.53,0.0114,0.3276,0.022,0.0091
BRF,400,10,390,0.025,0.0862,2.7586,0.0159,10,0.0147,0.6072,0.0132,0.4828,0.0256,0.0091
Random Forest,400,9,391,0.0225,0.0776,2.4828,0.0134,9,0.0126,0.5757,0.0187,0.1207,0.0324,0.0091
XGBoost,400,8,392,0.02,0.069,2.2069,0.0109,8,0.0133,0.5463,0.0131,0.2845,0.0251,0.0091
Logistic Regression,400,6,394,0.015,0.0517,1.6552,0.0059,6,0.0104,0.53,0.0114,0.3276,0.022,0.0091
Random,400,1,399,0.0025,0.0086,0.2759,-0.0066,1,0.0089,0.5116,0.0091,0.5,0.0178,0.0091
Random Forest,500,12,488,0.024,0.1034,2.6483,0.0149,12,0.0126,0.5757,0.0187,0.1207,0.0324,0.0091
BRF,500,10,490,0.02,0.0862,2.2069,0.0109,10,0.0147,0.6072,0.0132,0.4828,0.0256,0.0091
XGBoost,500,9,491,0.018,0.0776,1.9862,0.0089,9,0.0133,0.5463,0.0131,0.2845,0.0251,0.0091
Logistic Regression,500,8,492,0.016,0.069,1.7655,0.0069,8,0.0104,0.53,0.0114,0.3276,0.022,0.0091
Random,500,4,496,0.008,0.0345,0.8828,-0.0011,4,0.0089,0.5116,0.0091,0.5,0.0178,0.0091
BRF,750,15,735,0.02,0.1293,2.2069,0.0109,15,0.0147,0.6072,0.0132,0.4828,0.0256,0.0091
Random Forest,750,14,736,0.0187,0.1207,2.0598,0.0096,14,0.0126,0.5757,0.0187,0.1207,0.0324,0.0091
XGBoost,750,13,737,0.0173,0.1121,1.9126,0.0083,13,0.0133,0.5463,0.0131,0.2845,0.0251,0.0091
Logistic Regression,750,9,741,0.012,0.0776,1.3241,0.0029,9,0.0104,0.53,0.0114,0.3276,0.022,0.0091
Random,750,2,748,0.0027,0.0172,0.2943,-0.0064,2,0.0089,0.5116,0.0091,0.5,0.0178,0.0091
BRF,1000,20,980,0.02,0.1724,2.2069,0.0109,20,0.0147,0.6072,0.0132,0.4828,0.0256,0.0091
Random Forest,1000,16,984,0.016,0.1379,1.7655,0.0069,16,0.0126,0.5757,0.0187,0.1207,0.0324,0.0091
XGBoost,1000,16,984,0.016,0.1379,1.7655,0.0069,16,0.0133,0.5463,0.0131,0.2845,0.0251,0.0091
Logistic Regression,1000,10,990,0.01,0.0862,1.1034,0.0009,10,0.0104,0.53,0.0114,0.3276,0.022,0.0091
Random,1000,5,995,0.005,0.0431,0.5517,-0.0041,5,0.0089,0.5116,0.0091,0.5,0.0178,0.0091
